F:\simulator-windows-64\UDEMY\IMG\center_2019_01_09_22_22_15_722.jpg, F:\simulator-windows-64\UDEMY\IMG\left_2019_01_09_22_22_15_722.jpg, F:\simulator-windows-64\UDEMY\IMG\right_2019_01_09_22_22_15_722.jpg, 0, 0, 0, 7.825236E-05
F:\simulator-windows-64\UDEMY\IMG\center_2019_01_09_22_22_15_959.jpg, F:\simulator-windows-64\UDEMY\IMG\left_2019_01_09_22_22_15_959.jpg, F:\simulator-windows-64\UDEMY\IMG\right_2019_01_09_22_22_15_959.jpg, 0, 0, 0, 7.997358E-05
F:\simulator-windows-64\UDEMY\IMG\center_2019_01_09_22_22_16_078.jpg, F:\simulator-windows-64\UDEMY\IMG\left_2019_01_09_22_22_16_078.jpg, F:\simulator-windows-64\UDEMY\IMG\right_2019_01_09_22_22_16_078.jpg, 0, 0, 0, 7.930924E-05
F:\simulator-windows-64\UDEMY\IMG\center_2019_01_09_22_22_16_216.jpg, F:\simulator-windows-64\UDEMY\IMG\left_2019_01_09_22_22_16_216.jpg, F:\simulator-windows-64\UDEMY\IMG\right_2019_01_09_22_22_16_216.jpg, 0, 0, 0, 7.796613E-05
F:\simulator-windows-64\UDEMY\IMG\center_2019_01_09_22_22_16_333.jpg, F:\simulator-windows-64\UDEMY\IMG\left_2019_01_09_22_22_16_333.jpg, F:\simulator-windows-64\UDEMY\IMG\right_2019_01_09_22_22_16_333.jpg, 0, 0, 0, 8.133116E-05
F:\simulator-windows-64\UDEMY\IMG\center_2019_01_09_22_22_16_450.jpg, F:\simulator-windows-64\UDEMY\IMG\left_2019_01_09_22_22_16_450.jpg, F:\simulator-windows-64\UDEMY\IMG\right_2019_01_09_22_22_16_450.jpg, 0, 0, 0, 8.440178E-05
F:\simulator-windows-64\UDEMY\IMG\center_2019_01_09_22_22_16_615.jpg, F:\simulator-windows-64\UDEMY\IMG\left_2019_01_09_22_22_16_615.jpg, F:\simulator-windows-64\UDEMY\IMG\right_2019_01_09_22_22_16_615.jpg, 0, 0, 0, 8.405972E-05
F:\simulator-windows-64\UDEMY\IMG\center_2019_01_09_22_22_16_730.jpg, F:\simulator-windows-64\UDEMY\IMG\left_2019_01_09_22_22_16_730.jpg, F:\simulator-windows-64\UDEMY\IMG\right_2019_01_09_22_22_16_730.jpg, 0, 0, 0, 7.794057E-05
F:\simulator-windows-64\UDEMY\IMG\center_2019_01_09_22_22_16_848.jpg, F:\simulator-windows-64\UDEMY\IMG\left_2019_01_09_22_22_16_848.jpg, F:\simulator-windows-64\UDEMY\IMG\right_2019_01_09_22_22_16_848.jpg, 0, 0, 0, 7.889844E-05
F:\simulator-windows-64\UDEMY\IMG\center_2019_01_09_22_22_16_970.jpg, F:\simulator-windows-64\UDEMY\IMG\left_2019_01_09_22_22_16_970.jpg, F:\simulator-windows-64\UDEMY\IMG\right_2019_01_09_22_22_16_970.jpg, 0, 0, 0, 8.191536E-05
